2019-02-16 22:28:26 [scrapy.utils.log] INFO: Scrapy 1.6.0 started (bot: scraper)
2019-02-16 22:28:26 [scrapy.utils.log] INFO: Versions: lxml 4.3.1.0, libxml2 2.9.9, cssselect 1.0.3, parsel 1.5.1, w3lib 1.20.0, Twisted 18.9.0, Python 3.7.2 (default, Feb 12 2019, 08:15:36) - [Clang 10.0.0 (clang-1000.11.45.5)], pyOpenSSL 19.0.0 (OpenSSL 1.1.1a  20 Nov 2018), cryptography 2.5, Platform Darwin-18.2.0-x86_64-i386-64bit
2019-02-16 22:28:26 [scrapy.crawler] INFO: Overridden settings: {'BOT_NAME': 'scraper', 'LOG_FILE': 'logs/default/product/2ca6303c323a11e9a7bb34363b84d4b4.log', 'NEWSPIDER_MODULE': 'scraper.spiders', 'ROBOTSTXT_OBEY': True, 'SPIDER_MODULES': ['scraper.spiders']}
2019-02-16 22:28:26 [scrapy.extensions.telnet] INFO: Telnet Password: 6ff7336d646345c8
2019-02-16 22:28:26 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
2019-02-16 22:28:26 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.robotstxt.RobotsTxtMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2019-02-16 22:28:26 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2019-02-16 22:28:26 [scrapy.middleware] INFO: Enabled item pipelines:
[]
2019-02-16 22:28:26 [scrapy.core.engine] INFO: Spider opened
2019-02-16 22:28:26 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2019-02-16 22:28:26 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6023
2019-02-16 22:28:26 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/robots.txt> (referer: None)
2019-02-16 22:28:27 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/> (referer: None)
2019-02-16 22:28:27 [scrapy.dupefilters] DEBUG: Filtered duplicate request: <GET https://www.lajuana.cl/fertilizantes-quemanta/> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
2019-02-16 22:28:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/humboldt-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/positronics-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/pyramid-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/semillas/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/paradise-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:28 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/infinity-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/fastbuds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/ripper-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/green-house-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/medical-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/flying-dutchmen/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/DNA-genetics-reserva-privada/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/grass-o-matic/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/eva-seeds/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/dutch-passion/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:29 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/dna-genetics/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:30 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/productos-con-cbd/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:30 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/test-de-drogas/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:30 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/cosmeticos-cannabicos/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:30 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/annabis/> (referer: https://www.lajuana.cl/)
2019-02-16 22:28:31 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/humboldt-seeds/lemon-thai-kush-3-semillas-humboldt-seeds.html> (referer: https://www.lajuana.cl/humboldt-seeds/)
2019-02-16 22:28:32 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/paradise-seeds/white-berry-3-semillas-paradise-seeds.html> (referer: https://www.lajuana.cl/paradise-seeds/)
2019-02-16 22:28:32 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.lajuana.cl/paradise-seeds/original-cheese-3-semillas-paradise-seeds.html> (referer: https://www.lajuana.cl/paradise-seeds/)
